1.1	6047587.577	6504951.329	
1.2	6047592.564	6504954.665	
1.3	6047597.55	6504958.002	
2.1	6047580.618	6504961.712	
2.2	6047585.604	6504965.049	
2.3	6047590.591	6504968.386	
P1.1	6047579.272	6504950.344	68.86
P1.2	6047584.016	6504943.255	68.86
P1.3	6047584.546	6504947.857	68.86
P1.4	6047586.509	6504944.923	68.86
P1.5	6047590.442	6504957.818	68.86
P1.6	6047590.459	6504957.829	68.86
P1.7	6047593.223	6504953.663	68.86
P1.8	6047593.24	6504953.674	68.86
P1.9	6047601.629	6504965.303	68.86
P1.10	6047601.916	6504959.479	68.86
P1.11	6047603.879	6504956.545	68.86
P1.12	6047606.372	6504958.214	68.86
P2.1	6047571.268	6504962.307	68.86
P2.2	6047573.761	6504963.975	68.86
P2.3	6047576.26	6504960.241	68.86
P2.4	6047576.547	6504954.417	68.86
P2.5	6047584.94	6504966.048	68.86
P2.6	6047584.954	6504966.058	68.86
P2.7	6047587.718	6504961.891	68.86
P2.8	6047587.734	6504961.902	68.86
P2.9	6047591.131	6504975.598	68.86
P2.10	6047593.624	6504977.266	68.86
P2.11	6047593.63	6504971.863	68.86
P2.12	6047598.904	6504969.376	68.86
