nr,x,y,h
14xA34x1,6010721.45,6568904.99,-1.91
14xA34x2,6010719.46,6568905.07,-1.85
14xA34x3,6010717.46,6568905.15,-1.79
14xA34x4,6010715.46,6568905.22,-1.73
14xA35x1,6010721.55,6568907.39,-1.89
14xA35x2,6010719.55,6568907.47,-1.84
14xA35x3,6010717.55,6568907.54,-1.78
14xA35x4,6010715.55,6568907.62,-1.72
14xA36x1,6010721.64,6568909.79,-1.88
14xA36x2,6010719.64,6568909.86,-1.82
14xA36x3,6010717.64,6568909.94,-1.77
14xA36x4,6010715.65,6568910.02,-1.71
14xA37x1,6010721.73,6568912.18,-1.87
14xA37x2,6010719.74,6568912.26,-1.81
14xA37x3,6010717.74,6568912.34,-1.75
14xA37x4,6010715.74,6568912.42,-1.70
14xA38x1,6010721.83,6568914.58,-1.86
14xA38x2,6010719.83,6568914.66,-1.80
14xA38x3,6010717.83,6568914.74,-1.74
14xA38x4,6010715.83,6568914.82,-1.69
14xA39x1,6010721.92,6568916.98,-1.84
14xA39x2,6010719.92,6568917.06,-1.79
14xA39x3,6010717.93,6568917.14,-1.73
14xA39x4,6010715.93,6568917.21,-1.67
14xA40x1,6010722.02,6568919.38,-1.83
14xA40x2,6010720.02,6568919.46,-1.77
14xA40x3,6010718.02,6568919.53,-1.72
14xA40x4,6010716.02,6568919.61,-1.66
14xA41x1,6010722.12,6568921.76,-1.82
14xA41x2,6010720.13,6568921.85,-1.76
14xA41x3,6010718.13,6568921.94,-1.70
14xA41x4,6010716.13,6568922.02,-1.65
14xA42x1,6010722.26,6568924.13,-1.81
14xA42x2,6010720.26,6568924.24,-1.75
14xA42x3,6010718.26,6568924.34,-1.70
14xA42x4,6010716.26,6568924.45,-1.64
14xA43x1,6010722.43,6568926.49,-1.80
14xA43x2,6010720.43,6568926.62,-1.75
14xA43x3,6010718.43,6568926.75,-1.69
14xA43x4,6010716.44,6568926.88,-1.64
14xA44x1,6010723.86,6568928.71,-1.83
14xA44x2,6010721.87,6568928.89,-1.78
14xA44x3,6010719.88,6568929.06,-1.72
14xA44x4,6010717.88,6568929.23,-1.67
14xA44x5,6010715.89,6568929.41,-1.61
14xA45x1,6010724.13,6568930.98,-1.82
14xA45x2,6010722.15,6568931.21,-1.77
14xA45x3,6010720.16,6568931.44,-1.71
14xA45x4,6010718.17,6568931.67,-1.66
14xA45x5,6010716.19,6568931.91,-1.60
14xA46x1,6010724.47,6568933.23,-1.82
14xA46x2,6010722.49,6568933.52,-1.76
14xA46x3,6010720.51,6568933.82,-1.71
14xA46x4,6010718.54,6568934.11,-1.65
14xA46x5,6010716.56,6568934.40,-1.60
14xA47x1,6010724.88,6568935.44,-1.81
14xA47x2,6010722.92,6568935.81,-1.75
14xA47x3,6010720.95,6568936.18,-1.70
14xA47x4,6010718.98,6568936.54,-1.65
14xA47x5,6010717.02,6568936.91,-1.59
14xA48x1,6010725.38,6568937.63,-1.80
14xA48x2,6010723.43,6568938.07,-1.75
14xA48x3,6010721.48,6568938.52,-1.69
14xA48x4,6010719.52,6568938.96,-1.64
14xA48x5,6010717.57,6568939.41,-1.59
14xA49x1,6010725.96,6568939.77,-1.80
14xA49x2,6010724.03,6568940.30,-1.74
14xA49x3,6010722.10,6568940.83,-1.69
14xA49x4,6010720.17,6568941.37,-1.64
14xA49x5,6010718.24,6568941.90,-1.58
14xA50x1,6010726.65,6568941.86,-1.78
14xA50x2,6010724.75,6568942.49,-1.73
14xA50x3,6010722.85,6568943.11,-1.68
14xA50x4,6010720.95,6568943.74,-1.62
14xA50x5,6010719.05,6568944.37,-1.57
14xA51x1,6010727.45,6568943.90,-1.77
14xA51x2,6010725.59,6568944.62,-1.72
14xA51x3,6010723.72,6568945.35,-1.67
14xA51x4,6010721.86,6568946.07,-1.61
14xA51x5,6010719.99,6568946.80,-1.56
14xA52x1,6010728.31,6568945.97,-1.76
14xA52x2,6010726.47,6568946.77,-1.71
14xA52x3,6010724.64,6568947.57,-1.65
14xA52x4,6010722.81,6568948.37,-1.60
14xA52x5,6010720.97,6568949.17,-1.54
14xA53x1,6010729.32,6568947.95,-1.75
14xA53x2,6010727.53,6568948.83,-1.69
14xA53x3,6010725.73,6568949.70,-1.64
14xA53x4,6010723.93,6568950.58,-1.58
14xA53x5,6010722.13,6568951.46,-1.53
14xA54x1,6010730.31,6568949.76,-1.73
14xA54x2,6010728.59,6568950.79,-1.68
14xA54x3,6010726.87,6568951.81,-1.62
14xA54x4,6010725.16,6568952.84,-1.57
14xA54x5,6010723.44,6568953.86,-1.52
14xA55x1,6010731.49,6568951.66,-1.73
14xA55x2,6010729.81,6568952.76,-1.67
14xA55x3,6010728.14,6568953.85,-1.62
14xA55x4,6010726.47,6568954.95,-1.57
14xA55x5,6010724.79,6568956.04,-1.51
