nr,x1,y1,h
14xA34x1,6010721.39,6568904.92,-1.90
14xA34x2,6010719.37,6568905.03,-1.83
14xA34x3,6010717.55,6568905.13,-1.80
14xA34x4,6010715.37,6568905.22,-1.70
14xA35x1,6010721.56,6568907.30,-1.86
14xA35x2,6010719.46,6568907.43,-1.88
14xA35x3,6010717.64,6568907.56,-1.74
14xA35x4,6010715.55,6568907.57,-1.67
14xA36x1,6010721.57,6568909.71,-1.89
14xA36x2,6010719.57,6568909.79,-1.84
14xA36x3,6010717.58,6568909.88,-1.78
14xA36x4,6010715.58,6568909.95,-1.73
14xA37x1,6010721.75,6568912.12,-1.92
14xA37x2,6010719.65,6568912.25,-1.85
14xA37x3,6010717.66,6568912.30,-1.74
14xA37x4,6010715.77,6568912.38,-1.71
14xA38x1,6010721.79,6568914.59,-1.86
14xA38x2,6010719.73,6568914.65,-1.76
14xA38x3,6010717.78,6568914.76,-1.72
14xA38x4,6010715.78,6568914.82,-1.68
14xA39x1,6010721.95,6568916.91,-1.80
14xA39x2,6010719.89,6568917.06,-1.78
14xA39x3,6010717.86,6568917.09,-1.71
14xA39x4,6010715.92,6568917.27,-1.66
14xA40x1,6010722.08,6568919.31,-1.79
14xA40x2,6010720.11,6568919.46,-1.72
14xA40x3,6010717.95,6568919.59,-1.76
14xA40x4,6010715.99,6568919.70,-1.65
14xA41x1,6010722.06,6568921.70,-1.77
14xA41x2,6010720.20,6568921.79,-1.73
14xA41x3,6010718.04,6568921.92,-1.71
14xA41x4,6010716.10,6568921.95,-1.66
14xA42x1,6010722.29,6568924.12,-1.83
14xA42x2,6010720.26,6568924.14,-1.77
14xA42x3,6010718.26,6568924.41,-1.72
14xA42x4,6010716.33,6568924.51,-1.63
14xA43x1,6010722.43,6568926.48,-1.76
14xA43x2,6010720.38,6568926.62,-1.74
14xA43x3,6010718.38,6568926.68,-1.66
14xA43x4,6010716.40,6568926.90,-1.66
14xA44x1,6010723.85,6568928.67,-1.84
14xA44x2,6010721.84,6568928.87,-1.73
14xA44x3,6010719.86,6568929.05,-1.69
14xA44x4,6010717.84,6568929.14,-1.67
14xA44x5,6010715.83,6568929.34,-1.63
14xA45x1,6010724.10,6568930.94,-1.86
14xA45x2,6010722.10,6568931.29,-1.73
14xA45x3,6010720.20,6568931.43,-1.67
14xA45x4,6010718.22,6568931.63,-1.68
14xA45x5,6010716.14,6568931.84,-1.63
14xA46x1,6010724.48,6568933.22,-1.79
14xA46x2,6010722.50,6568933.44,-1.77
14xA46x3,6010720.44,6568933.89,-1.67
14xA46x4,6010718.60,6568934.06,-1.63
14xA46x5,6010716.63,6568934.38,-1.60
14xA47x1,6010724.84,6568935.47,-1.84
14xA47x2,6010722.87,6568935.74,-1.73
14xA47x3,6010720.85,6568936.17,-1.70
14xA47x4,6010718.93,6568936.45,-1.64
14xA47x5,6010717.03,6568936.82,-1.57
14xA48x1,6010725.41,6568937.54,-1.82
14xA48x2,6010723.36,6568938.00,-1.80
14xA48x3,6010721.40,6568938.58,-1.66
